T_m_K,Ts_over_Tm,alpha,beta_mean_deg,beta_sim_deg,beta_tangent_deg,checkpoint,height_nm,material,n_windows,offset_tangent_deg,radius_nm,status
1234.9300537109375,0.2414306778785291,60.0,2.206420568529007,2.206420568529007,40.893,01_GLAD_SIMULATION/simulation_batch/runs/P5_MATERIAL_GENERALIZATION_20260909/P5_Ag_alpha060_seed000_h120_pitch150/checkpoints/checkpoint_v3_emergency.h5,120.1,Ag,2,-38.687,0.14499999582767487,OK
1234.9300537109375,0.2414306778785291,75.0,2.4363590897064284,2.4363590897064284,61.813,01_GLAD_SIMULATION/simulation_batch/runs/P5_MATERIAL_GENERALIZATION_20260909/P5_Ag_alpha075_seed000_h120_pitch150/checkpoints/checkpoint_v3_emergency.h5,120.1,Ag,2,-59.377,0.14499999582767487,OK
1234.9300537109375,0.2414306778785291,85.0,6.371934766349678,6.371934766349678,80.075,01_GLAD_SIMULATION/simulation_batch/runs/P5_MATERIAL_GENERALIZATION_20260909/P5_Ag_alpha085_seed000_h120_pitch150/checkpoints/checkpoint_v3_emergency.h5,120.0,Ag,2,-73.703,0.14499999582767487,OK
933.0,0.3195605573419078,60.0,0.8446887502391545,0.8446887502391545,40.893,01_GLAD_SIMULATION/simulation_batch/runs/P5_MATERIAL_GENERALIZATION_20260909/P5_Al_alpha060_seed000_h120_pitch150/checkpoints/checkpoint_v3_emergency.h5,120.1,Al,2,-40.049,0.12099999934434891,OK
933.0,0.3195605573419078,75.0,3.3399626781487712,3.3399626781487712,61.813,01_GLAD_SIMULATION/simulation_batch/runs/P5_MATERIAL_GENERALIZATION_20260909/P5_Al_alpha075_seed000_h120_pitch150/checkpoints/checkpoint_v3_emergency.h5,120.1,Al,2,-58.473,0.12099999934434891,OK
933.0,0.3195605573419078,85.0,5.703166324565792,5.703166324565792,80.075,01_GLAD_SIMULATION/simulation_batch/runs/P5_MATERIAL_GENERALIZATION_20260909/P5_Al_alpha085_seed000_h120_pitch150/checkpoints/checkpoint_v3_emergency.h5,120.0,Al,2,-74.372,0.12099999934434891,OK
1337.3299560546875,0.2229442320125578,60.0,1.312656421995452,1.312656421995452,40.893,01_GLAD_SIMULATION/simulation_batch/runs/P5_MATERIAL_GENERALIZATION_20260909/P5_Au_alpha060_seed000_h120_pitch150/checkpoints/checkpoint_v3_emergency.h5,120.0,Au,2,-39.581,0.13600000739097595,OK
,,75.0,,,,,,Au,,,,NO_CHECKPOINT
1337.3299560546875,0.2229442320125578,85.0,11.0503153633998,11.0503153633998,80.075,01_GLAD_SIMULATION/simulation_batch/runs/P5_MATERIAL_GENERALIZATION_20260909/P5_Au_alpha085_seed000_h120_pitch150/checkpoints/checkpoint_v3_emergency.h5,120.0,Au,2,-69.025,0.13600000739097595,OK
1768.0,0.16863687782805428,60.0,1.078234497760521,1.078234497760521,40.893,01_GLAD_SIMULATION/simulation_batch/runs/P5_MATERIAL_GENERALIZATION_20260909/P5_Co_alpha060_seed000_h120_pitch150/checkpoints/checkpoint_v3_emergency.h5,120.1,Co,2,-39.815,0.12600000202655792,OK
1768.0,0.16863687782805428,75.0,1.8767420690080203,1.8767420690080203,61.813,01_GLAD_SIMULATION/simulation_batch/runs/P5_MATERIAL_GENERALIZATION_20260909/P5_Co_alpha075_seed000_h120_pitch150/checkpoints/checkpoint_v3_emergency.h5,120.1,Co,2,-59.936,0.12600000202655792,OK
1768.0,0.16863687782805428,85.0,9.010184386678649,9.010184386678649,80.075,01_GLAD_SIMULATION/simulation_batch/runs/P5_MATERIAL_GENERALIZATION_20260909/P5_Co_alpha085_seed000_h120_pitch150/checkpoints/checkpoint_v3_emergency.h5,120.1,Co,2,-71.065,0.12600000202655792,OK
2180.0,0.13676605504587155,60.0,1.6323640231469874,1.6323640231469874,40.893,01_GLAD_SIMULATION/simulation_batch/runs/P5_MATERIAL_GENERALIZATION_20260909/P5_Cr_alpha060_seed000_h120_pitch150/checkpoints/checkpoint_v3_emergency.h5,120.2,Cr,2,-39.261,0.13899999856948853,OK
2180.0,0.13676605504587155,75.0,3.075864857440129,3.075864857440129,61.813,01_GLAD_SIMULATION/simulation_batch/runs/P5_MATERIAL_GENERALIZATION_20260909/P5_Cr_alpha075_seed000_h120_pitch150/checkpoints/checkpoint_v3_emergency.h5,120.0,Cr,2,-58.737,0.13899999856948853,OK
2180.0,0.13676605504587155,85.0,10.295281249225027,10.295281249225027,80.075,01_GLAD_SIMULATION/simulation_batch/runs/P5_MATERIAL_GENERALIZATION_20260909/P5_Cr_alpha085_seed000_h120_pitch150/checkpoints/checkpoint_v3_emergency.h5,120.2,Cr,2,-69.78,0.13899999856948853,OK
1811.0,0.1646327995582551,60.0,1.8463004207511844,1.8463004207511844,40.893,01_GLAD_SIMULATION/simulation_batch/runs/P5_MATERIAL_GENERALIZATION_20260909/P5_Fe_alpha060_seed000_h120_pitch150/checkpoints/checkpoint_v3_emergency.h5,120.0,Fe,2,-39.047,0.15199999511241913,OK
1811.0,0.1646327995582551,75.0,3.3687634460162945,3.3687634460162945,61.813,01_GLAD_SIMULATION/simulation_batch/runs/P5_MATERIAL_GENERALIZATION_20260909/P5_Fe_alpha075_seed000_h120_pitch150/checkpoints/checkpoint_v3_emergency.h5,120.1,Fe,2,-58.444,0.15199999511241913,OK
1811.0,0.1646327995582551,85.0,9.651534058656772,9.651534058656772,80.075,01_GLAD_SIMULATION/simulation_batch/runs/P5_MATERIAL_GENERALIZATION_20260909/P5_Fe_alpha085_seed000_h120_pitch150/checkpoints/checkpoint_v3_emergency.h5,120.0,Fe,2,-70.423,0.15199999511241913,OK
923.0,0.32302275189599133,60.0,1.616189679460727,1.616189679460727,40.893,01_GLAD_SIMULATION/simulation_batch/runs/P5_MATERIAL_GENERALIZATION_20260909/P5_Mg_alpha060_seed000_h120_pitch150/checkpoints/checkpoint_v3_emergency.h5,120.0,Mg,2,-39.277,0.14100000262260437,OK
923.0,0.32302275189599133,75.0,0.6035187434645921,0.6035187434645921,61.813,01_GLAD_SIMULATION/simulation_batch/runs/P5_MATERIAL_GENERALIZATION_20260909/P5_Mg_alpha075_seed000_h120_pitch150/checkpoints/checkpoint_v3_emergency.h5,120.1,Mg,2,-61.21,0.14100000262260437,OK
923.0,0.32302275189599133,85.0,8.780365348418426,8.780365348418426,80.075,01_GLAD_SIMULATION/simulation_batch/runs/P5_MATERIAL_GENERALIZATION_20260909/P5_Mg_alpha085_seed000_h120_pitch150/checkpoints/checkpoint_v3_emergency.h5,120.1,Mg,2,-71.295,0.14100000262260437,OK
2896.0,0.10295234806629834,60.0,1.8401981410669543,1.8401981410669543,40.893,01_GLAD_SIMULATION/simulation_batch/runs/P5_MATERIAL_GENERALIZATION_20260909/P5_Mo_alpha060_seed000_h120_pitch150/checkpoints/checkpoint_v3_emergency.h5,120.0,Mo,2,-39.053,0.15399999916553497,OK
